chr	start	end	readCount	log2Ratio
1	1500001	2000000	826	0.105816185215365
1	3000001	3500000	838	-0.0745455419825202
1	4000001	4500000	921	-0.168115776465502
1	4500001	5000000	1022	-0.0255252851931137
1	5000001	5500000	970	-0.143323291502912
1	5500001	6000000	913	-0.237382618469312
1	6000001	6500000	880	-0.0698270243801163
1	6500001	7000000	881	-0.104946079664745
1	7000001	7500000	1006	-0.053808388087856
1	7500001	8000000	970	-0.030788300534585
1	8000001	8500000	934	-0.0773174365690364
1	8500001	9000000	915	-0.0404979105041353
1	9000001	9500000	1082	0.0802657725843647
1	9500001	10000000	941	-0.0576265996612211
1	10000001	10500000	1024	0.107361171858766
1	10500001	11000000	915	-0.174219458107272
1	11000001	11500000	965	-0.030166146781885
1	11500001	12000000	950	-0.074808961516748
1	12000001	12500000	968	0.0163627436800325
1	14000001	14500000	903	-0.16250655276981
1	14500001	15000000	1009	-0.0480380857715533
1	15000001	15500000	1063	0.0644389989753434
1	15500001	16000000	943	-0.0703944780441995
1	16000001	16500000	873	-0.168219595744687
1	17500001	18000000	903	-0.180433651917724
1	18000001	18500000	1067	-0.00540728947870239
1	18500001	19000000	973	-0.0787575468711099
1	19000001	19500000	963	-0.0635622267258246
1	19500001	20000000	960	0.0258710165964531
1	20000001	20500000	1056	-0.0467902825291028
1	20500001	21000000	1011	-0.0374238041925347
1	21000001	21500000	898	-0.0515701869580277
1	21500001	22000000	883	-0.137112784756876
1	22000001	22500000	911	-0.0898662086667274
1	22500001	23000000	903	-0.191377646426408
1	23000001	23500000	908	-0.182669030891797
1	23500001	24000000	1037	0.0281777469746049
1	24000001	24500000	832	0.0889890794165927
1	24500001	25000000	929	-0.132217721172513
1	25000001	25500000	1011	-0.0126797734358152
1	26000001	26500000	1015	0.0273078046686351
1	26500001	27000000	977	0.087728417695328
1	27000001	27500000	844	-0.120497495730102
1	27500001	28000000	1049	0.189498531002493
1	28000001	28500000	999	0.106491326349056
1	28500001	29000000	1087	0.183372940585004
1	29000001	29500000	955	-0.0280654284922005
1	30500001	31000000	987	-0.0796455885983768
1	31000001	31500000	866	-0.212700516495141
1	31500001	32000000	943	-0.107617993363385
1	32000001	32500000	933	-0.0748566091345305
1	32500001	33000000	976	-0.00744718148978833
1	33000001	33500000	940	-0.081916526882495
1	33500001	34000000	968	-0.0282708473647261
1	34000001	34500000	967	-0.154409627945641
1	34500001	35000000	1005	-0.0184698407583398
1	35000001	35500000	847	-0.236868439404348
1	35500001	36000000	955	-0.017848944582268
1	36000001	36500000	961	-0.0125322456652218
1	36500001	37000000	946	0.0900055040914095
1	37000001	37500000	930	-0.172686133410747
1	37500001	38000000	933	-0.188299561244449
1	38000001	38500000	1018	0.0992831457262925
1	38500001	39000000	943	-0.16777862672867
1	39000001	39500000	961	-0.121304147885459
1	39500001	40000000	925	-0.0458747869589408
1	40000001	40500000	988	0.0190539108074723
1	40500001	41000000	941	0.0614186716746873
1	41000001	41500000	1006	0.0206896527043288
1	41500001	42000000	853	-0.290647927653696
1	42000001	42500000	993	-0.116719835390729
1	42500001	43000000	975	-0.015235010262241
1	43000001	43500000	838	-0.198704923889844
1	43500001	44000000	941	-0.110095386381887
1	44000001	44500000	859	-0.158786506173814
1	44500001	45000000	988	-0.040067722897805
1	45000001	45500000	999	0.00470282307497021
1	45500001	46000000	1015	0.0562002387996644
1	46000001	46500000	970	0.0330891983801455
1	46500001	47000000	974	-0.0164848065548692
1	47000001	47500000	900	-0.111438568335817
1	47500001	48000000	907	-0.0887840433081054
1	48000001	48500000	992	-0.0908879550246155
1	48500001	49000000	833	-0.263825951472489
1	49000001	49500000	965	-0.107606581022375
1	49500001	50000000	861	-0.0274840399889229
1	50000001	50500000	866	-0.0376323884314166
1	50500001	51000000	880	-0.193596113311548
1	51000001	51500000	872	-0.0263879284716587
1	51500001	52000000	993	0.0650579471194704
1	52000001	52500000	992	0.0467811932349057
1	52500001	53000000	952	-0.0184340551917498
1	53000001	53500000	1018	0.0382908165902715
1	53500001	54000000	953	-0.0888457702012578
1	54000001	54500000	1028	0.0430240157093943
1	54500001	55000000	923	-0.146762474446721
1	55000001	55500000	922	-0.15212972284938
1	55500001	56000000	931	-0.113936609318964
1	56000001	56500000	1039	0.129101147386208
1	56500001	57000000	905	-0.195172085633308
1	57000001	57500000	900	-0.160649942385081
1	57500001	58000000	859	-0.191356316254604
1	58000001	58500000	896	-0.198876822536709
1	58500001	59000000	883	-0.154240337199924
1	59000001	59500000	906	-0.145141028665993
1	59500001	60000000	922	-0.0847543980103356
1	60000001	60500000	968	0.06364861163583
1	60500001	61000000	885	-0.0392665493473409
1	61000001	61500000	1000	0.0665854838451382
1	61500001	62000000	837	-0.203682441553378
1	62000001	62500000	891	-0.122796706766226
1	62500001	63000000	1027	0.0567073475017529
1	63000001	63500000	851	-0.0910750010190305
1	63500001	64000000	882	-0.0541129424798346
1	64000001	64500000	974	-0.0122294337696197
1	64500001	65000000	879	-0.132092404654737
1	65000001	65500000	911	-0.102040897476473
1	65500001	66000000	940	-0.0236245451980912
1	66000001	66500000	852	0.00592499001059244
1	66500001	67000000	846	-0.134421269101911
1	67000001	67500000	781	-0.185799871343316
1	67500001	68000000	1014	0.0556313680794622
1	68000001	68500000	885	-0.090617014564996
1	68500001	69000000	894	-0.078096259578775
1	69000001	69500000	808	-0.108296188480883
1	69500001	70000000	824	-0.1319913161084
1	70000001	70500000	818	0.0223204115663203
1	70500001	71000000	911	0.0683058094404117
1	71000001	71500000	840	-0.073207735961725
1	71500001	72000000	863	0.0357787904786618
1	72000001	72500000	684	-0.303930713754324
1	72500001	73000000	671	-0.0907882222179234
1	73000001	73500000	808	0.0971115509713565
1	73500001	74000000	739	-0.0357354289953216
1	74000001	74500000	840	0.0726408744238242
1	74500001	75000000	764	-0.124697108230067
1	75000001	75500000	765	-0.184591736391472
1	75500001	76000000	668	-0.359292423498297
1	76000001	76500000	448	-0.944139965022666
1	76500001	77000000	552	-0.787127582038612
1	77000001	77500000	522	-0.808376092954742
1	77500001	78000000	485	-0.925546988106259
1	78000001	78500000	518	-0.778364944869704
1	78500001	79000000	483	-0.902723837023947
1	79000001	79500000	515	-0.685805555515154
1	79500001	80000000	469	-0.81279704596375
1	80000001	80500000	434	-0.904923109891058
1	80500001	81000000	462	-0.755117888964909
1	81000001	81500000	386	-1.01632133264402
1	81500001	82000000	505	-0.774272258508776
1	82000001	82500000	463	-0.832617799850503
1	82500001	83000000	508	-0.779842553323448
1	83000001	83500000	500	-0.752204020637371
1	84000001	84500000	498	-0.886391217023553
1	84500001	85000000	466	-0.869727758672026
1	85000001	85500000	542	-0.810033563548931
1	85500001	86000000	567	-0.765862288294181
1	86000001	86500000	506	-0.747138307241323
1	86500001	87000000	428	-1.03358814587081
1	87000001	87500000	511	-0.745139497267003
1	87500001	88000000	510	-0.928244591783347
1	88000001	88500000	510	-0.80898264396071
1	88500001	89000000	472	-0.978525716863207
1	89000001	89500000	480	-0.912564020459924
1	89500001	90000000	561	-0.681254599344729
1	90000001	90500000	530	-0.759771591569933
1	90500001	91000000	471	-0.963032715077822
1	91000001	91500000	576	-0.63815243361398
1	91500001	92000000	497	-0.86711163185709
1	92000001	92500000	614	-0.734218492429451
1	92500001	93000000	474	-0.99352331149252
1	93000001	93500000	527	-0.771354759269034
1	93500001	94000000	492	-0.851904449877762
1	94000001	94500000	562	-0.838851331429543
1	94500001	95000000	548	-0.791155117460068
1	95000001	95500000	560	-0.861017681483782
1	95500001	96000000	531	-0.829054093770012
1	96000001	96500000	469	-0.890241760192026
1	96500001	97000000	504	-0.840610533044145
1	97000001	97500000	480	-0.92405910036926
1	97500001	98000000	473	-0.819380587711987
1	98000001	98500000	443	-0.907933504615534
1	98500001	99000000	503	-0.8119339664846
1	99000001	99500000	517	-0.791830753706005
1	99500001	100000000	515	-0.749769650403547
1	100000001	100500000	767	-0.195266719918786
1	100500001	101000000	837	-0.0993826306112901
1	101000001	101500000	893	0.016905501064459
1	101500001	102000000	725	-0.359062878336457
1	102000001	102500000	497	-0.780964318173422
1	102500001	103000000	461	-0.759788626006695
1	103000001	103500000	379	-1.03272709653599
1	104500001	105000000	459	-0.840873614423841
1	105000001	105500000	486	-0.672234433459981
1	105500001	106000000	397	-0.920005968488176
1	106000001	106500000	486	-0.633489612369633
1	106500001	107000000	471	-0.719612483078317
1	107000001	107500000	466	-0.884675259223203
1	107500001	108000000	557	-0.655833397553507
1	108000001	108500000	470	-0.970139537358727
1	109000001	109500000	779	-0.184151915018119
1	109500001	110000000	912	-0.0604194022714613
1	110000001	110500000	905	0.001576256897143
1	110500001	111000000	915	-0.124918218623512
1	111000001	111500000	941	-0.0791544676125234
1	111500001	112000000	839	-0.14003336981459
1	112000001	112500000	577	-0.773479941523858
1	112500001	113000000	568	-0.792166027193476
1	113000001	113500000	490	-0.952275226843233
1	113500001	114000000	540	-0.849345256127741
1	114000001	114500000	467	-0.889545359275528
1	114500001	115000000	1012	-0.0276092822315319
1	115000001	115500000	1239	0.461571402020295
1	115500001	116000000	1380	0.4589871586781
1	116000001	116500000	1480	0.510306852669046
1	116500001	117000000	1635	0.733776538588362
1	117000001	117500000	1031	0.0527937309198913
1	117500001	118000000	925	-0.0464333719081594
1	118000001	118500000	932	0.00690324765731046
1	118500001	119000000	844	-0.0667870566970697
1	119000001	119500000	888	0.0148714314809174
1	119500001	120000000	826	-0.247400459534174
1	120000001	120500000	584	-0.751962223175632
1	146500001	147000000	992	0.0753420266630491
1	150000001	150500000	1441	0.622400691452302
1	150500001	151000000	1218	0.424762238393739
1	151000001	151500000	1310	0.490211955225387
1	151500001	152000000	1292	0.380399408502086
1	152000001	152500000	1262	0.421457820056181
1	152500001	153000000	1273	0.428292214711722
1	153000001	153500000	1348	0.418927646428112
1	153500001	154000000	1263	0.466173736280384
1	154000001	154500000	1402	0.536775375508862
1	154500001	155000000	1450	0.569738032748819
1	155000001	155500000	1255	0.475347351545162
1	155500001	156000000	1368	0.569575589737831
1	156000001	156500000	1138	0.208035767654483
1	156500001	157000000	1280	0.26999649158449
1	157000001	157500000	1314	0.346304614453359
1	157500001	158000000	1319	0.392342230496845
1	158000001	158500000	1212	0.3295676086854
1	158500001	159000000	1196	0.437812209912858
1	159000001	159500000	1126	0.303591088880387
1	159500001	160000000	1247	0.356217286744253
1	160000001	160500000	1206	0.275151214971832
1	160500001	161000000	1372	0.464595693552189
1	161000001	161500000	1200	0.444684050642653
1	162000001	162500000	1370	0.423874629574079
1	162500001	163000000	1427	0.599900654646939
1	163000001	163500000	1422	0.6283106730425
1	163500001	164000000	1187	0.391051836546909
1	164000001	164500000	1278	0.486570536123016
1	164500001	165000000	1409	0.469078041960293
1	165000001	165500000	1425	0.498175040521131
1	165500001	166000000	1441	0.537711181709165
1	166000001	166500000	1488	0.606762615529425
1	166500001	167000000	1309	0.471586682372804
1	167000001	167500000	1383	0.505392303392635
1	167500001	168000000	1603	0.741268662196917
1	168000001	168500000	1649	0.780693772712035
1	168500001	169000000	1580	0.699427933128087
1	169000001	169500000	1300	0.594909500228964
1	169500001	170000000	1334	0.554081889583288
1	170000001	170500000	1444	0.706983979278117
1	170500001	171000000	1407	0.667990266569805
1	171000001	171500000	1550	0.743420925242571
1	171500001	172000000	1549	0.703576880168124
1	172000001	172500000	1273	0.516449107961385
1	172500001	173000000	1346	0.562432868314852
1	173000001	173500000	1537	0.699507957407114
1	173500001	174000000	1499	0.733037588179396
1	174000001	174500000	1420	0.683557554385658
1	174500001	175000000	1325	0.62356274438031
1	175000001	175500000	1231	0.273584966406938
1	175500001	176000000	1234	0.288865542702492
1	176000001	176500000	1068	0.317600232835031
1	176500001	177000000	1144	0.243383593675241
1	177000001	177500000	1204	0.300671719647672
1	177500001	178000000	1220	0.343763250011238
1	178000001	178500000	1105	0.28545359605148
1	178500001	179000000	1193	0.356388528878168
1	179000001	179500000	1237	0.359670252350368
1	179500001	180000000	1222	0.374140303095534
1	180000001	180500000	1349	0.51760843640969
1	180500001	181000000	1118	0.219342400342409
1	181000001	181500000	1590	0.570974087966855
1	181500001	182000000	1616	0.683941757767985
1	182000001	182500000	1556	0.723392297637248
1	182500001	183000000	1575	0.691909460455429
1	183000001	183500000	1595	0.763654925223621
1	183500001	184000000	1645	0.777336522986471
1	184000001	184500000	1567	0.680722632080968
1	184500001	185000000	1566	0.788328494765826
1	185000001	185500000	1482	0.765490464345229
1	185500001	186000000	1573	0.833638253731121
1	186000001	186500000	1446	0.78393307693445
1	186500001	187000000	1434	0.756302160671682
1	187000001	187500000	1110	0.400116054386083
1	187500001	188000000	1013	0.284324831307876
1	188000001	188500000	844	0.0747236968510949
1	188500001	189000000	971	0.421397347708227
1	189000001	189500000	953	0.393252952716401
1	189500001	190000000	1079	0.535512975656112
1	190500001	191000000	1111	0.550404903902029
1	191000001	191500000	1013	0.372940785439908
1	191500001	192000000	1035	0.363199674829324
1	192000001	192500000	1026	0.342408463717204
1	192500001	193000000	1049	0.279766450307323
1	193000001	193500000	1116	0.422442902040541
1	193500001	194000000	1095	0.392237681200897
1	194000001	194500000	972	0.236693109460956
1	194500001	195000000	986	0.381194640709951
1	195000001	195500000	1134	0.589247176625263
1	195500001	196000000	896	0.194095612700195
1	196000001	196500000	1064	0.398202921642545
1	197000001	197500000	1118	0.424660066949399
1	197500001	198000000	1056	0.327181316292869
1	198000001	198500000	1112	0.374793635662653
1	198500001	199000000	1125	0.489721109297849
1	199000001	199500000	1058	0.274870401853243
1	199500001	200000000	1219	0.396640454136381
1	200000001	200500000	1360	0.516596972604675
1	200500001	201000000	1260	0.34691642741702
1	201000001	201500000	1320	0.244985304737414
1	201500001	202000000	1363	0.414192627303462
1	202000001	202500000	1116	0.134173912471254
1	202500001	203000000	1246	0.300430071299188
1	203000001	203500000	1217	0.221885274981101
1	203500001	204000000	1345	0.394201660053267
1	204000001	204500000	1286	0.433483218709149
1	204500001	205000000	1397	0.441467158198627
1	205000001	205500000	1281	0.347401149606681
1	206500001	207000000	1231	0.315976943541576
1	207000001	207500000	1185	0.211988563182036
1	207500001	208000000	1092	0.395444533693461
1	208000001	208500000	1325	0.398246868320204
1	208500001	209000000	1247	0.312747676680558
1	209000001	209500000	1200	0.332852812910033
1	209500001	210000000	1348	0.468163661409928
1	210000001	210500000	1127	0.305969033521684
1	210500001	211000000	1258	0.307899422360689
1	211000001	211500000	1209	0.363695375358521
1	211500001	212000000	1206	0.31514460667465
1	212000001	212500000	1265	0.423846273322851
1	212500001	213000000	1177	0.323070404540629
1	213000001	213500000	1230	0.475241554962756
